"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"That is my hotel room view. Lovin life! #4c15 http://t.co/dIUkWTgfYR",FALSE,0,NA,2015-03-17 21:47:30,FALSE,NA,"577949405594128384",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AsaoBInoue",0,FALSE,FALSE,NA,NA
"RT @Tampa4c: Big thanks to @TampaStreetcar for offering 50% off to #4C15 attendees. Show your badge and get a full-day pass for just $2.50.",FALSE,0,NA,2015-03-17 21:45:28,FALSE,NA,"577948892622385153",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chenchen328",9,TRUE,FALSE,NA,NA
"RT @amylynchbiniek: Thinking of my adjunct colleagues who would like to attend #4c15 &amp; other conferences but don't have institutional suppo…",FALSE,0,NA,2015-03-17 21:45:15,FALSE,NA,"577948836624265216",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","mfnmfnmfn",2,TRUE,FALSE,NA,NA
"At #4C15 and celebrating. #thefeministsarecoming #thefeministsarehere http://t.co/HIzrQkvfB3",FALSE,3,NA,2015-03-17 21:42:45,FALSE,NA,"577948210443993090",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CWSHRC",0,FALSE,FALSE,NA,NA
"RT @PrecariCorps: For #adjuncts who can't make it to #4C15, $upport is coming.  We're accepting donations now. 

#WhyPrecariCorps http://t.…",FALSE,0,NA,2015-03-17 21:34:58,FALSE,NA,"577946249187471362",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ProfessorEx74",1,TRUE,FALSE,NA,NA
"For #adjuncts who can't make it to #4C15, $upport is coming.  We're accepting donations now. 

#WhyPrecariCorps http://t.co/TKi6lUUYu1",FALSE,0,NA,2015-03-17 21:34:29,FALSE,NA,"577946128815120384",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PrecariCorps",1,FALSE,FALSE,NA,NA
"@amylynchbiniek We know you, Seth, et al. will, Amy. #solidarity 

This = 100% shareable at #4c15. 

Let us know if we can do anything.",FALSE,0,"amylynchbiniek",2015-03-17 21:32:48,FALSE,"577942727045840896","577945706129940481","58798013","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PrecariCorps",0,FALSE,FALSE,NA,NA
"RT @EricSDet: Grad-student conference travel is a BYOPB affair. Next stop, Tampa. #4C15 http://t.co/Lyc0gg5feD",FALSE,0,NA,2015-03-17 21:30:07,FALSE,NA,"577945028418490368",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MChighered",3,TRUE,FALSE,NA,NA
"RT @amylynchbiniek: Thinking of my adjunct colleagues who would like to attend #4c15 &amp; other conferences but don't have institutional suppo…",FALSE,0,NA,2015-03-17 21:28:57,FALSE,NA,"577944735869980672",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PrecariCorps",2,TRUE,FALSE,NA,NA
"RT @amylynchbiniek: ..willl be there working for more resources to get you where you want to be. Solidarity!   #4C15.  2/2",FALSE,0,NA,2015-03-17 21:28:55,FALSE,NA,"577944725992374272",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PrecariCorps",1,TRUE,FALSE,NA,NA
"RT @EricSDet: Grad-student conference travel is a BYOPB affair. Next stop, Tampa. #4C15 http://t.co/Lyc0gg5feD",FALSE,0,NA,2015-03-17 21:28:52,FALSE,NA,"577944717163438080",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PrecariCorps",3,TRUE,FALSE,NA,NA
"@curriculargeek IMO, No and yes. ""No"" b/c those are impt traits for good teachers. ""Yes"" b/c those are good traits for good humans. #4c15",FALSE,0,"curriculargeek",2015-03-17 21:28:24,FALSE,"577935054376165377","577944596035948545","962449567","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","stevendkrause",0,FALSE,FALSE,NA,NA
"RT @Tampa4c: Big thanks to @TampaStreetcar for offering 50% off to #4C15 attendees. Show your badge and get a full-day pass for just $2.50.",FALSE,0,NA,2015-03-17 21:27:18,FALSE,NA,"577944322932371456",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lecagle",9,TRUE,FALSE,NA,NA
"RT @EricSDet: Grad-student conference travel is a BYOPB affair. Next stop, Tampa. #4C15 http://t.co/Lyc0gg5feD",FALSE,0,NA,2015-03-17 21:22:32,FALSE,NA,"577943120123396096",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","amylynchbiniek",3,TRUE,FALSE,NA,NA
"..willl be there working for more resources to get you where you want to be. Solidarity!   #4C15.  2/2",FALSE,1,NA,2015-03-17 21:20:58,FALSE,NA,"577942727045840896",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","amylynchbiniek",1,FALSE,FALSE,NA,NA
