"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"hope they discover a sinkhole under Selhurst Park after the game and the ground gets swallowed up so we don't have to play there again #LFC",FALSE,0,NA,2015-02-14 17:51:12,FALSE,NA,"566655914498097152",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LewisJones_90",0,FALSE,FALSE,NA,NA
"RT @JessOfRVA: Hey Church Hill folk, be careful on 24th at E. Marshall. There's a pretty deep sinkhole in the sidewalk. Cc: @chpn http://t.…",FALSE,0,NA,2015-02-14 17:42:12,FALSE,NA,"566653649980768256",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Kia11on",2,TRUE,FALSE,NA,NA
"Corvette Plant Manager Talks about Sinkhole and Visitors http://t.co/rECQ2JIb86",FALSE,0,NA,2015-02-14 17:41:01,FALSE,NA,"566653349626277888",NA,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>","VetteTube",0,FALSE,FALSE,NA,NA
"RT @ArizonaDOT: Reminder! State Route 89A closed at Oak Creek Canyon because of a sinkhole: http://t.co/4AICNPwZUY http://t.co/XSxQpWdqkA",FALSE,0,NA,2015-02-14 17:35:41,FALSE,NA,"566652008133062657",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Kia11on",28,TRUE,FALSE,NA,NA
"RT @JessOfRVA: Hey Church Hill folk, be careful on 24th at E. Marshall. There's a pretty deep sinkhole in the sidewalk. Cc: @chpn http://t.…",FALSE,0,NA,2015-02-14 17:29:10,FALSE,NA,"566650369363968002",NA,"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","chpn",2,TRUE,FALSE,NA,NA
"#sinkhole #bimmah #oman #travel #holiday @ Bimmah Sinkhole Park http://t.co/CK38pIBZkg",FALSE,0,NA,2015-02-14 17:22:31,FALSE,NA,"566648695664685056",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","LauraJayH",0,FALSE,FALSE,"59.07188163","23.03607068"
"✌ @Reading ""Your Host"" http://t.co/cfnBbxr1fL",FALSE,0,NA,2015-02-14 17:14:10,FALSE,NA,"566646592523210753",NA,"<a href=""http://www.reading.am"" rel=""nofollow"">Reading.am</a>","rogreisreading",0,FALSE,FALSE,NA,NA
"The Empty Nest Sinkhole #findsomethingoldtolove #Renew15",FALSE,0,NA,2015-02-14 17:03:42,FALSE,NA,"566643959758200832",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","wensubet",0,FALSE,FALSE,NA,NA
"The Empty Nest Sinkhole #findsomethingnewtolove #Renew15",FALSE,0,NA,2015-02-14 16:56:28,FALSE,NA,"566642139740635136",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","wensubet",0,FALSE,FALSE,NA,NA
"Hey Church Hill folk, be careful on 24th at E. Marshall. There's a pretty deep sinkhole in the sidewalk. Cc: @chpn http://t.co/zLJShRfJ0m",FALSE,0,NA,2015-02-14 16:52:57,FALSE,NA,"566641255720185856",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JessOfRVA",2,FALSE,FALSE,NA,NA
